股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
300293,蓝英装备,创业板,2022-08-20,10.92,-5.45,-0.63,125843,140295074.0,6.23,11.6,10.88,11.6,4.49,专用设备,辽宁板块,-299.19,6.33
300294,博雅生物,创业板,2022-08-20,33.44,-1.15,-0.39,38141,128746353.55,3.72,34.49,33.23,33.75,0.9,生物制品,江西板块,30.24,2.4
300295,三六五网,创业板,2022-08-20,9.24,-1.18,-0.11,88807,83406422.35,3.21,9.53,9.23,9.34,5.35,文化传媒,江苏板块,83.69,1.35
300296,利亚德,创业板,2022-08-20,7.04,-3.96,-0.29,1163723,843093650.02,7.23,7.53,7.0,7.45,5.58,光学光电子,北京板块,33.46,2.25
300297,*ST蓝盾,创业板,2022-08-20,2.48,6.44,0.15,518793,127562817.32,8.15,2.52,2.33,2.33,4.16,互联网服务,四川板块,-2.9,3.43
300298,三诺生物,创业板,2022-08-20,27.06,-2.17,-0.6,15915,43441326.2,3.9,27.96,26.88,27.63,0.35,医疗器械,湖南板块,36.4,5.58
300299,富春股份,创业板,2022-08-20,7.0,7.36,0.48,870827,617434539.53,12.88,7.44,6.6,6.6,13.46,游戏,福建板块,99.07,9.02
300300,海峡创新,创业板,2022-08-20,4.31,-3.15,-0.14,123471,54103386.32,4.04,4.49,4.31,4.45,1.84,互联网服务,福建板块,-17.06,5.79
300301,*ST长方,创业板,2022-08-20,2.21,5.24,0.11,455214,99370556.63,6.67,2.24,2.1,2.13,5.76,光学光电子,广东板块,-12.45,2.32
300302,同有科技,创业板,2022-08-20,8.35,-2.11,-0.18,76136,64431306.9,2.93,8.6,8.35,8.52,2.16,软件开发,北京板块,111.74,2.69
300303,聚飞光电,创业板,2022-08-20,5.2,-1.52,-0.08,396368,208936902.21,3.41,5.37,5.19,5.26,3.17,光学光电子,广东板块,31.29,2.4
300304,云意电气,创业板,2022-08-20,5.52,-3.5,-0.2,163492,91597917.0,3.85,5.74,5.52,5.73,1.93,汽车零部件,江苏板块,134.71,2.04
300305,裕兴股份,创业板,2022-08-20,16.64,-4.91,-0.86,122728,212555604.32,9.2,18.19,16.58,17.99,5.28,塑料制品,江苏板块,23.27,2.59
300306,远方信息,创业板,2022-08-20,11.5,-2.62,-0.31,65892,76846658.46,3.98,11.96,11.49,11.81,4.34,仪器仪表,浙江板块,63.09,2.17
300307,慈星股份,创业板,2022-08-20,6.55,-3.96,-0.27,266435,177562707.0,5.43,6.89,6.52,6.81,3.45,专用设备,浙江板块,43.35,1.91
300308,中际旭创,创业板,2022-08-20,33.45,-3.04,-1.05,122885,418672287.46,4.99,35.17,33.45,34.5,1.64,通信设备,山东板块,30.76,2.32
300309,*ST吉艾,创业板,2022-08-20,1.6,0.63,0.01,148403,23855476.0,3.14,1.63,1.58,1.58,1.75,多元金融,北京板块,-3.18,-1.56
300310,宜通世纪,创业板,2022-08-20,4.35,-0.68,-0.03,209099,91907256.18,2.51,4.45,4.34,4.39,3.02,通信服务,广东板块,690.65,2.16
300311,任子行,创业板,2022-08-20,6.63,-2.21,-0.15,226017,152624435.74,3.98,6.88,6.61,6.8,4.22,软件开发,广东板块,-25.84,5.43
300312,邦讯退,创业板,2022-08-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300313,ST天山,创业板,2022-08-20,7.05,0.71,0.05,57118,40515006.0,5.0,7.21,6.86,6.99,3.1,农牧饲渔,新疆板块,-117.26,21.65
300314,戴维医疗,创业板,2022-08-20,10.86,-1.81,-0.2,23790,26172958.0,3.16,11.2,10.85,10.99,1.26,医疗器械,浙江板块,81.56,3.22
300315,掌趣科技,创业板,2022-08-20,3.28,0.92,0.03,452925,150567705.48,4.0,3.37,3.24,3.24,1.72,游戏,北京板块,71.33,2.15
300316,晶盛机电,创业板,2022-08-20,82.06,-2.32,-1.95,169197,1410678495.65,5.06,85.91,81.66,84.92,1.4,光伏设备,浙江板块,60.66,12.87
300317,珈伟新能,创业板,2022-08-20,7.03,-0.57,-0.04,305266,214801069.8,3.39,7.15,6.91,7.07,3.94,光伏设备,广东板块,37.74,3.21
300318,博晖创新,创业板,2022-08-20,6.89,-3.23,-0.23,126263,88296278.9,3.79,7.15,6.88,7.15,1.59,医疗器械,北京板块,-106.25,5.86
300319,麦捷科技,创业板,2022-08-20,10.46,-4.3,-0.47,243702,260660678.3,5.22,11.02,10.45,11.02,3.27,光学光电子,广东板块,51.38,2.4
300320,海达股份,创业板,2022-08-20,13.88,3.43,0.46,229782,315251569.96,8.94,14.23,13.03,13.4,4.64,橡胶制品,江苏板块,67.66,4.12
300321,同大股份,创业板,2022-08-20,17.3,-1.87,-0.33,4775,8336761.0,2.5,17.68,17.24,17.63,0.57,化学制品,山东板块,110.3,2.46
300322,硕贝德,创业板,2022-08-20,11.45,-2.64,-0.31,142202,166640745.42,4.59,11.98,11.44,11.7,3.24,消费电子,广东板块,488.15,3.9
300323,华灿光电,创业板,2022-08-20,7.84,-2.73,-0.22,347465,279555979.84,5.33,8.27,7.84,8.06,3.8,光学光电子,湖北板块,340.97,1.51
300324,旋极信息,创业板,2022-08-20,3.8,0.0,0.0,412135,159038878.46,3.68,3.92,3.78,3.8,2.43,互联网服务,北京板块,-38.02,1.68
300325,德威退,创业板,2022-08-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300326,凯利泰,创业板,2022-08-20,7.79,-2.26,-0.18,72582,57126149.07,2.76,7.99,7.77,7.98,1.01,医疗器械,上海板块,18.58,2.03
300327,中颖电子,创业板,2022-08-20,45.64,-0.33,-0.15,85069,387630512.55,4.11,46.53,44.65,45.42,2.52,半导体,上海板块,30.57,10.96
300328,宜安科技,创业板,2022-08-20,10.12,-5.33,-0.57,407758,420597771.85,5.05,10.64,10.1,10.55,5.98,小金属,广东板块,205.45,6.4
300329,海伦钢琴,创业板,2022-08-20,7.06,-0.84,-0.06,31071,22229671.0,2.95,7.26,7.05,7.14,1.23,家用轻工,浙江板块,70.77,1.94
300330,*ST计通,创业板,2022-08-20,6.09,-0.16,-0.01,88880,54178545.64,2.13,6.17,6.04,6.09,5.29,互联网服务,上海板块,-44.89,2.73
300331,苏大维格,创业板,2022-08-20,28.51,-4.01,-1.19,204650,588276272.2,5.05,29.5,28.0,29.3,10.18,光学光电子,江苏板块,-79.62,3.74
300332,天壕环境,创业板,2022-08-20,14.52,-2.75,-0.41,98760,144305022.5,3.55,14.93,14.4,14.91,1.17,燃气,北京板块,24.18,3.5
300333,兆日科技,创业板,2022-08-20,7.06,1.88,0.13,197445,142452705.94,7.22,7.44,6.94,6.94,5.93,软件开发,广东板块,-33.44,2.92
300334,津膜科技,创业板,2022-08-20,7.5,-1.45,-0.11,31237,23654241.5,2.23,7.67,7.5,7.61,1.03,环保行业,天津板块,-43.8,2.99
300335,迪森股份,创业板,2022-08-20,6.81,-1.87,-0.13,687527,479817983.73,8.65,7.3,6.7,7.0,24.38,环保行业,广东板块,243.75,2.04
300336,*ST新文,创业板,2022-08-20,1.62,0.62,0.01,163989,26711213.0,4.97,1.67,1.59,1.6,2.22,文化传媒,上海板块,-15.99,-3.15
300337,银邦股份,创业板,2022-08-20,14.02,-5.46,-0.81,383788,548057062.2,7.28,14.87,13.79,14.76,5.41,有色金属,江苏板块,63.66,7.23
300338,ST开元,创业板,2022-08-20,3.22,8.78,0.26,411224,130345998.47,13.85,3.37,2.96,2.97,13.88,教育,湖南板块,-5.47,-73.83
300339,润和软件,创业板,2022-08-20,19.61,-2.44,-0.49,435823,877774010.15,4.68,20.54,19.6,20.33,5.65,互联网服务,江苏板块,89.82,4.94
300340,科恒股份,创业板,2022-08-20,16.2,4.65,0.72,133635,215688178.75,7.04,16.49,15.4,15.4,7.26,电池,广东板块,54.5,4.77
300341,麦克奥迪,创业板,2022-08-20,9.6,-1.84,-0.18,37622,36419261.0,2.45,9.84,9.6,9.79,0.73,电网设备,福建板块,27.01,3.9
300342,天银机电,创业板,2022-08-20,9.95,-4.51,-0.47,93341,94475418.79,4.61,10.43,9.95,10.39,2.24,家电行业,江苏板块,82.5,2.8
300343,联创股份,创业板,2022-08-20,14.5,-4.54,-0.69,604803,888635338.56,5.46,15.19,14.36,15.12,6.51,化学制品,山东板块,12.26,10.67
300344,立方数科,创业板,2022-08-20,5.33,0.76,0.04,107027,56415610.8,2.65,5.35,5.21,5.29,2.18,软件开发,安徽板块,-34.31,5.79
300345,华民股份,创业板,2022-08-20,8.24,-5.29,-0.46,194157,161606323.76,7.47,8.75,8.1,8.6,4.4,通用设备,湖南板块,2517.92,7.2
300346,南大光电,创业板,2022-08-20,38.52,-3.02,-1.2,448837,1773192071.83,4.33,40.22,38.5,39.08,8.75,电子化学品,江苏板块,64.91,10.58
300347,泰格医药,创业板,2022-08-20,103.5,-1.26,-1.32,40681,425975295.14,3.16,106.31,103.0,103.03,0.72,医疗服务,浙江板块,43.54,5.01
300348,长亮科技,创业板,2022-08-20,11.01,-0.81,-0.09,158106,176776348.8,3.06,11.35,11.01,11.16,2.59,软件开发,广东板块,585.33,5.4
300349,金卡智能,创业板,2022-08-20,10.37,-0.77,-0.08,37122,38688715.16,2.78,10.58,10.29,10.5,0.97,仪器仪表,浙江板块,19.28,1.19
300350,华鹏飞,创业板,2022-08-20,6.01,-0.33,-0.02,101568,61812988.94,3.15,6.19,6.0,6.07,2.17,物流行业,广东板块,1037.13,3.88
300351,永贵电器,创业板,2022-08-20,20.38,-2.72,-0.57,148163,302851832.25,7.4,21.3,19.75,20.95,5.85,交运设备,浙江板块,50.67,3.65
300352,北信源,创业板,2022-08-20,4.4,-7.17,-0.34,703277,315114440.32,5.49,4.64,4.38,4.55,5.85,软件开发,北京板块,-70.14,3.77
300353,东土科技,创业板,2022-08-20,10.25,-3.12,-0.33,226014,235599066.28,6.62,10.86,10.16,10.55,5.17,通信设备,北京板块,-20.84,5.97
300354,东华测试,创业板,2022-08-20,36.49,-5.17,-1.99,8581,31899000.82,5.38,38.52,36.45,38.52,1.07,仪器仪表,江苏板块,93.41,10.0
300355,蒙草生态,创业板,2022-08-20,3.98,0.0,0.0,249216,99450981.0,1.76,4.03,3.96,3.98,1.91,环保行业,内蒙古,50.91,1.52
300356,*ST光一,创业板,2022-08-20,2.82,2.92,0.08,98157,27597530.0,4.38,2.85,2.73,2.73,2.51,电网设备,江苏板块,-8.99,1.54
300357,我武生物,创业板,2022-08-20,44.93,-1.32,-0.6,11944,54155220.95,2.35,45.94,44.87,45.51,0.25,生物制品,浙江板块,64.94,12.98
300358,楚天科技,创业板,2022-08-20,16.86,-0.3,-0.05,46878,80217405.05,4.08,17.49,16.8,17.0,0.91,医疗器械,湖南板块,18.87,2.66
300359,全通教育,创业板,2022-08-20,5.1,1.39,0.07,165899,85674070.74,5.17,5.29,5.03,5.04,2.62,教育,广东板块,326.34,4.83
300360,炬华科技,创业板,2022-08-20,14.0,-2.71,-0.39,114609,161919358.4,3.96,14.45,13.88,14.36,2.63,电网设备,浙江板块,24.75,2.68
300362,天翔退,创业板,2022-08-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300363,博腾股份,创业板,2022-08-20,61.74,-1.69,-1.06,55310,341969436.95,2.26,62.8,61.38,62.8,1.22,化学制药,重庆板块,13.86,6.56
300364,中文在线,创业板,2022-08-20,9.57,1.27,0.12,436895,426280488.42,5.29,9.97,9.47,9.5,6.72,文化传媒,北京板块,-108.93,4.47
300365,恒华科技,创业板,2022-08-20,9.27,-3.54,-0.34,124387,116690403.02,4.68,9.69,9.24,9.67,3.57,软件开发,北京板块,-76.81,2.6
300366,创意信息,创业板,2022-08-20,8.62,-2.49,-0.22,162469,142898585.6,4.75,8.98,8.56,8.86,3.28,软件开发,四川板块,39.64,2.2
300367,网力退,创业板,2022-08-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300368,汇金股份,创业板,2022-08-20,7.12,-0.7,-0.05,80265,57903930.0,2.93,7.32,7.11,7.21,1.56,计算机设备,河北板块,-134.37,4.24
300369,绿盟科技,创业板,2022-08-20,10.4,-1.14,-0.12,86594,91663994.57,3.42,10.76,10.4,10.56,1.18,软件开发,北京板块,-18.05,2.38
300370,*ST安控,创业板,2022-08-20,2.37,2.6,0.06,131005,30802249.44,3.46,2.38,2.3,2.31,1.39,仪器仪表,四川板块,-8.41,-4.78
300371,汇中股份,创业板,2022-08-20,12.63,-1.48,-0.19,6552,8388129.4,3.43,13.07,12.63,12.94,0.59,仪器仪表,河北板块,103.29,2.36
300372,欣泰退,创业板,2022-08-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300373,扬杰科技,创业板,2022-08-20,64.58,-3.97,-2.67,121449,803215366.96,5.58,68.27,64.52,67.19,2.37,半导体,江苏板块,28.18,5.92
300374,中铁装配,创业板,2022-08-20,10.5,-1.13,-0.12,9506,10086943.5,2.82,10.79,10.49,10.72,0.5,装修装饰,北京板块,-16.97,2.28
300375,鹏翎股份,创业板,2022-08-20,4.69,-4.09,-0.2,183447,87508731.26,4.5,4.9,4.68,4.9,3.63,汽车零部件,天津板块,22.57,1.65
300376,易事特,创业板,2022-08-20,8.77,-3.63,-0.33,675171,600156089.38,5.16,9.22,8.75,9.11,2.91,电源设备,广东板块,41.53,3.18
300377,赢时胜,创业板,2022-08-20,8.47,-0.94,-0.08,164196,140690994.03,2.81,8.7,8.46,8.54,2.61,软件开发,广东板块,-46.25,2.24
300378,鼎捷软件,创业板,2022-08-20,19.11,-2.45,-0.48,68118,132749993.46,5.46,20.1,19.03,19.82,2.56,软件开发,上海板块,73.87,3.05
