股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
600336,澳柯玛,沪a,2022-08-19,6.58,-0.9,-0.06,116872,77325715.0,1.66,6.68,6.57,6.63,1.48,家电行业,山东板块,23.4,2.15
600337,美克家居,沪a,2022-08-19,2.96,-0.34,-0.01,37956,11306830.0,1.35,3.0,2.96,2.97,0.23,装修建材,江西板块,-12.13,1.12
600338,西藏珠峰,沪a,2022-08-19,31.59,0.93,0.29,410157,1313372180.0,6.77,33.1,30.98,31.73,4.49,有色金属,西藏板块,32.32,8.23
600339,中油工程,沪a,2022-08-19,2.87,0.35,0.01,172083,49439762.0,1.05,2.89,2.86,2.86,0.31,采掘行业,新疆板块,25.64,0.65
600340,华夏幸福,沪a,2022-08-19,2.93,0.69,0.02,374461,110275265.0,3.09,2.98,2.89,2.91,0.96,房地产开发,河北板块,1.03,1.26
600343,航天动力,沪a,2022-08-19,9.5,-1.35,-0.13,168575,161559983.0,2.28,9.72,9.5,9.61,2.64,专用设备,陕西板块,-136.38,3.23
600345,长江通信,沪a,2022-08-19,17.43,-3.33,-0.6,60174,106724852.0,5.05,18.29,17.38,17.98,3.04,通信设备,湖北板块,38.07,1.62
600346,恒力石化,沪a,2022-08-19,19.99,-0.15,-0.03,150470,301667301.0,1.25,20.17,19.92,19.92,0.21,化纤行业,辽宁板块,8.77,2.38
600348,华阳股份,沪a,2022-08-19,20.49,-5.58,-1.21,870209,1834399383.0,6.36,21.83,20.45,21.5,3.62,煤炭行业,山西板块,9.46,2.49
600350,山东高速,沪a,2022-08-19,5.21,0.0,0.0,63180,32928802.0,0.96,5.24,5.19,5.23,0.13,铁路公路,山东板块,8.76,0.91
600351,亚宝药业,沪a,2022-08-19,6.09,-0.81,-0.05,70025,42870830.0,1.47,6.17,6.08,6.14,0.91,中药,山西板块,16.42,1.6
600352,浙江龙盛,沪a,2022-08-19,9.67,-0.51,-0.05,118288,114801371.0,1.23,9.77,9.65,9.72,0.36,化学制品,浙江板块,11.04,1.03
600353,旭光电子,沪a,2022-08-19,14.51,-0.41,-0.06,167629,244458129.0,4.67,14.88,14.2,14.38,3.08,电子元件,四川板块,185.14,6.51
600354,敦煌种业,沪a,2022-08-19,6.36,-0.63,-0.04,187588,120594681.0,2.81,6.52,6.34,6.35,3.55,农牧饲渔,甘肃板块,104.87,5.38
600355,精伦电子,沪a,2022-08-19,3.96,0.0,0.0,549063,220407702.0,4.04,4.09,3.93,3.96,11.16,通信设备,湖北板块,-64.78,8.03
600356,恒丰纸业,沪a,2022-08-19,7.06,-0.28,-0.02,13009,9207033.0,1.41,7.14,7.04,7.08,0.44,造纸印刷,黑龙江,23.3,0.92
600357,承德钒钛,沪a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
