股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
000047,ST中侨,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000048,京基智农,深a,2022-08-19,19.55,2.14,0.41,48641,95643945.67,4.96,20.05,19.1,19.14,0.93,房地产开发,广东板块,-18.04,5.98
000049,德赛电池,深a,2022-08-19,56.0,0.54,0.3,235807,1336598184.77,5.28,58.35,55.41,56.0,7.9,电池,广东板块,27.25,5.01
000050,深天马Ａ,深a,2022-08-19,10.24,-2.48,-0.26,162057,169201331.17,5.05,10.74,10.21,10.51,0.68,光学光电子,广东板块,79.64,0.84
000055,方大集团,深a,2022-08-19,5.35,-1.47,-0.08,320193,172484967.25,2.95,5.49,5.33,5.4,4.73,装修装饰,广东板块,32.72,1.04
000056,皇庭国际,深a,2022-08-19,5.3,-2.93,-0.16,328593,177356936.22,5.13,5.57,5.29,5.42,3.64,房地产服务,广东板块,-13.24,1.87
000058,深 赛 格,深a,2022-08-19,6.75,1.66,0.11,431534,293281875.1,7.08,7.0,6.53,6.58,4.38,商业百货,广东板块,61.62,4.14
000059,华锦股份,深a,2022-08-19,7.15,0.7,0.05,512860,365297758.96,4.79,7.28,6.94,7.1,3.21,石油行业,辽宁板块,10.06,0.81
000060,中金岭南,深a,2022-08-19,4.43,-0.67,-0.03,251658,112028292.62,1.79,4.5,4.42,4.45,0.67,有色金属,广东板块,12.45,1.33
000061,农 产 品,深a,2022-08-19,5.83,0.69,0.04,60788,35429410.86,1.9,5.87,5.76,5.78,0.36,贸易行业,广东板块,35.33,1.76
000062,深圳华强,深a,2022-08-19,12.54,-2.26,-0.29,38408,48677546.07,2.96,12.89,12.51,12.8,0.37,电子元件,广东板块,14.93,2.29
000063,中兴通讯,深a,2022-08-19,24.68,-0.08,-0.02,280821,699457136.14,2.15,25.17,24.64,24.66,0.72,通信设备,广东板块,13.18,2.22
000065,北方国际,深a,2022-08-19,10.4,10.05,0.95,156564,160827999.2,7.83,10.4,9.66,9.66,1.73,工程建设,北京板块,13.39,1.38
000066,中国长城,深a,2022-08-19,9.89,-2.56,-0.26,331013,333224393.59,4.43,10.33,9.88,10.14,1.05,计算机设备,广东板块,-68.22,2.37
000068,华控赛格,深a,2022-08-19,3.68,0.55,0.02,93665,34505596.0,1.91,3.72,3.65,3.67,0.93,环保行业,广东板块,-95.2,14.62
000069,华侨城Ａ,深a,2022-08-19,5.43,0.56,0.03,366299,199633140.2,2.04,5.49,5.38,5.39,0.52,房地产开发,广东板块,63.15,0.57
000070,特发信息,深a,2022-08-19,7.04,-0.71,-0.05,280159,200393505.24,4.23,7.3,7.0,7.09,3.36,通信设备,广东板块,209.83,3.11
000078,海王生物,深a,2022-08-19,3.42,0.0,0.0,83174,28503883.2,1.75,3.46,3.4,3.42,0.32,医药商业,广东板块,33.16,1.6
000088,盐 田 港,深a,2022-08-19,5.1,0.2,0.01,73480,37523736.74,1.38,5.14,5.07,5.09,0.33,航运港口,广东板块,24.41,1.23
000089,深圳机场,深a,2022-08-19,6.77,-0.59,-0.04,42230,28641329.21,0.88,6.82,6.76,6.81,0.21,航空机场,广东板块,-11.62,1.2
000090,天健集团,深a,2022-08-19,5.7,1.24,0.07,248765,142659178.96,3.2,5.8,5.62,5.64,1.33,工程建设,广东板块,2.93,1.1
000096,广聚能源,深a,2022-08-19,9.04,-7.57,-0.74,92863,84519927.0,6.13,9.6,9.0,9.6,1.82,石油行业,广东板块,127.22,1.89
000099,中信海直,深a,2022-08-19,8.01,-1.35,-0.11,106862,86293226.06,2.09,8.18,8.01,8.15,1.5,航空机场,广东板块,21.85,1.31
000100,TCL科技,深a,2022-08-19,4.53,-1.09,-0.05,1387525,637735362.86,3.06,4.67,4.53,4.57,1.03,光学光电子,广东板块,11.75,1.54
000150,*ST宜康,深a,2022-08-19,1.66,-0.6,-0.01,194604,32248771.04,2.99,1.68,1.63,1.66,2.41,医疗服务,广东板块,-4.23,-2.93
000151,中成股份,深a,2022-08-19,11.85,-1.33,-0.16,95657,114553069.97,3.16,12.18,11.8,11.98,3.59,贸易行业,北京板块,-448.89,4.48
000153,丰原药业,深a,2022-08-19,8.28,0.12,0.01,62494,52188572.98,3.14,8.47,8.21,8.27,2.0,化学制药,安徽板块,18.07,1.69
000155,川能动力,深a,2022-08-19,22.5,1.81,0.4,313051,695060741.26,5.52,22.78,21.56,21.9,2.41,电力行业,四川板块,50.0,6.61
000156,华数传媒,深a,2022-08-19,7.34,0.27,0.02,52249,38525442.18,2.05,7.44,7.29,7.38,0.33,文化传媒,浙江板块,16.72,0.96
000157,中联重科,深a,2022-08-19,6.02,-0.66,-0.04,248368,149884512.41,1.49,6.09,6.0,6.05,0.35,工程机械,湖南板块,14.41,0.94
000158,常山北明,深a,2022-08-19,6.31,-1.25,-0.08,230852,147852486.93,3.91,6.54,6.29,6.42,1.46,综合行业,河北板块,-29.16,1.66
000159,国际实业,深a,2022-08-19,8.33,-0.24,-0.02,122795,102191633.68,3.35,8.45,8.17,8.31,2.55,石油行业,新疆板块,6.65,1.58
000166,申万宏源,深a,2022-08-19,4.19,0.24,0.01,405103,170207662.15,1.2,4.22,4.17,4.18,0.18,证券,新疆板块,24.49,1.12
000301,东方盛虹,深a,2022-08-19,22.65,2.77,0.61,709453,1596379382.6,7.4,23.23,21.6,22.26,1.47,化纤行业,江苏板块,51.11,5.44
000333,美的集团,深a,2022-08-19,52.61,-0.02,-0.01,132153,695288655.05,1.06,52.81,52.25,52.68,0.19,家电行业,广东板块,12.82,3.05
000338,潍柴动力,深a,2022-08-19,11.64,-1.1,-0.13,289186,338255764.28,1.36,11.79,11.63,11.79,0.57,汽车零部件,山东板块,24.16,1.43
000400,许继电气,深a,2022-08-19,23.15,-3.62,-0.87,452301,1055286658.67,4.83,24.05,22.89,24.04,4.49,电网设备,河南板块,25.68,2.39
000401,冀东水泥,深a,2022-08-19,9.3,0.54,0.05,80248,74683452.61,1.3,9.35,9.23,9.26,0.52,水泥建材,河北板块,-26.51,0.79
000402,金 融 街,深a,2022-08-19,5.68,0.53,0.03,201888,114642125.68,2.12,5.73,5.61,5.63,0.68,房地产开发,北京板块,7.39,0.44
000403,派林生物,深a,2022-08-19,21.07,-0.43,-0.09,61262,129414587.37,2.74,21.46,20.88,21.07,1.02,生物制品,山西板块,36.53,2.41
000404,长虹华意,深a,2022-08-19,6.32,-2.17,-0.14,374672,240772413.84,3.87,6.56,6.31,6.54,5.39,家电行业,江西板块,27.58,1.29
000405,ST鑫光,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000406,石油大明,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000407,胜利股份,深a,2022-08-19,4.09,1.49,0.06,282282,116291322.73,3.47,4.18,4.04,4.1,3.22,燃气,山东板块,19.94,1.34
000408,藏格矿业,深a,2022-08-19,31.65,-4.5,-1.49,157885,502902214.02,5.61,32.96,31.1,32.96,1.0,化肥行业,青海板块,10.44,5.56
000409,云鼎科技,深a,2022-08-19,6.53,-1.06,-0.07,88590,58391810.52,3.33,6.72,6.5,6.58,2.18,综合行业,山东板块,320.33,6.58
000410,*ST沈机,深a,2022-08-19,5.3,0.38,0.02,25489,13498289.6,1.14,5.32,5.26,5.27,0.15,通用设备,辽宁板块,116.47,-18.67
000411,英特集团,深a,2022-08-19,10.32,-0.19,-0.02,20853,21602264.2,0.97,10.4,10.3,10.36,0.7,医药商业,浙江板块,16.63,1.77
000412,ST五环,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000413,东旭光电,深a,2022-08-19,2.2,-5.98,-0.14,3608933,814665105.31,9.4,2.4,2.18,2.36,7.42,光学光电子,河北板块,-5.95,0.52
000415,渤海租赁,深a,2022-08-19,2.23,0.45,0.01,234141,52451842.7,2.25,2.27,2.22,2.22,0.59,多元金融,新疆板块,-4.67,0.55
000416,民生控股,深a,2022-08-19,3.61,-0.55,-0.02,75568,27521253.0,1.93,3.68,3.61,3.62,1.42,多元金融,山东板块,-196.64,2.19
000417,合肥百货,深a,2022-08-19,4.25,0.24,0.01,68795,29359105.72,1.18,4.3,4.25,4.26,0.88,商业百货,安徽板块,15.87,0.78
000418,小天鹅A,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000419,通程控股,深a,2022-08-19,5.04,1.41,0.07,74733,37615655.4,2.82,5.09,4.95,4.96,1.38,商业百货,湖南板块,10.88,0.87
000420,吉林化纤,深a,2022-08-19,4.83,-0.62,-0.03,597774,293736448.08,4.53,5.04,4.82,4.87,2.76,化纤行业,吉林板块,-60.6,2.9
000421,南京公用,深a,2022-08-19,5.14,-0.58,-0.03,107421,55598763.3,1.93,5.23,5.13,5.16,1.88,燃气,江苏板块,-56.82,1.07
000422,湖北宜化,深a,2022-08-19,18.33,-1.19,-0.22,205872,380660846.81,2.43,18.73,18.28,18.55,2.29,化学原料,湖北板块,6.45,5.41
000423,东阿阿胶,深a,2022-08-19,36.5,1.39,0.5,40007,145435439.89,2.19,36.64,35.85,35.98,0.61,中药,山东板块,52.04,2.47
000425,徐工机械,深a,2022-08-19,5.37,-0.37,-0.02,388147,209422403.78,1.86,5.46,5.36,5.38,0.5,工程机械,江苏板块,7.48,1.11
000426,兴业矿业,深a,2022-08-19,6.98,-0.85,-0.06,156830,109686629.21,2.27,7.11,6.95,7.03,1.06,有色金属,内蒙古,52.8,2.36
000428,华天酒店,深a,2022-08-19,3.8,-1.04,-0.04,87459,33476573.0,1.82,3.87,3.8,3.86,0.86,旅游酒店,湖南板块,-29.13,1.86
000429,粤高速Ａ,深a,2022-08-19,7.31,0.0,0.0,12848,9394444.1,0.55,7.33,7.29,7.29,0.1,铁路公路,广东板块,8.87,1.86
